dd,Unnamed: 0_x,customerEmail,transactionId,orderId,paymentMethodId,paymentMethodRegistrationFailure,paymentMethodType,paymentMethodProvider,transactionAmount,transactionFailed,orderState,Unnamed: 0_y,customerPhone,customerDevice,customerIPAddress,customerBillingAddress,No_Transactions,No_Orders,No_Payments,Fraud
9,9,andersonwilliam@yahoo.com,uo3slwh7,itnk8y,8pneoi03z,0,card,JCB 16 digit,25,0,fulfilled,2,024.420.0375,4m7h5ipl1shyavt6vv2r,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",5,3,2,FALSE
498,372,kathleenlee@yahoo.com,ah0args9,qvbjir,qr7kuc1gm,0,apple pay,American Express,32,1,fulfilled,100,3898354581,3nl9r01aoqks8pn0m4hb,143.172.2.212,"206 Olson Viaduct Apt. 982
North Charleschester, CA 67567",6,4,3,FALSE
24,23,johnlowery@gmail.com,300mewnx,kanub7,8xex97krx,0,card,VISA 16 digit,65,0,fulfilled,40,737-377-9701x577,jz66ap43id2y35ivfqa5,6c21:ac1d:2089:68fa:abb7:8c00:525f:6588,"08238 Kyle Squares Suite 893
Millermouth, IN 27535-5397",0,0,1,TRUE
545,419,pchavez@randolph.com,idhsbo74,iwzplu,3fsaflfv5,0,paypal,Maestro,39,0,fulfilled,114,(569)110-7736,ol87wpzs0jpsw13jlyko,acba:ba43:ae87:641c:3009:8355:c6ff:15b9,"3604 Lyons Prairie
Allenbury, WI 26089-9330",1,1,1,FALSE
753,585,brittanyhicks@jones.com,sw740j0n,gbnio0,ti77llxpi,1,card,Diners Club / Carte Blanche,33,1,fulfilled,159,579-193-1785x676,b054slok65d4k1t01u4a,89.73.189.96,"233 Jessica Lights
Port Sonya, SC 47511",2,1,1,FALSE
596,470,cindydeleon@yahoo.com,5ndeff4q,fng05a,vaf2bri7z,0,card,JCB 15 digit,14,1,fulfilled,132,1524024300,jy8lgca2hto8r58zw5oo,2ebe:381c:151a:9df5:65f5:808f:103d:d128,"USNS Ramos
FPO AE 16248",4,1,2,FALSE
775,604,johnlowery@gmail.com,qio8vvq7,vcyuse,j3foo2l16,0,card,JCB 16 digit,35,0,fulfilled,65,4712252182,311kdz4c1210iixltk2j,42b3:df19:86fe:abd9:dafe:f6c1:eb76:c72,"11704 Andrew Villages Apt. 035
Jamesfurt, OR 49817-0470",7,5,1,TRUE
614,488,jenniferperry@hotmail.com,s0yyt7of,d67lcv,45ddgqcnf,0,card,Diners Club / Carte Blanche,30,0,failed,138,+27(2)4721167637,u4gxqno1iwgs4cn6502c,202.230.239.182,"16855 Lopez Tunnel
Port Stephanieville, PW 58997-9470",4,4,2,FALSE
34,24,johnlowery@gmail.com,cfoevtai,kanub7,yxsf33ipw,0,bitcoin,Voyager,65,1,fulfilled,65,4712252182,311kdz4c1210iixltk2j,42b3:df19:86fe:abd9:dafe:f6c1:eb76:c72,"11704 Andrew Villages Apt. 035
Jamesfurt, OR 49817-0470",7,5,1,TRUE
753,585,brittanyhicks@jones.com,sw740j0n,gbnio0,ti77llxpi,1,card,Diners Club / Carte Blanche,33,1,fulfilled,159,579-193-1785x676,b054slok65d4k1t01u4a,89.73.189.96,"233 Jessica Lights
Port Sonya, SC 47511",2,1,1,FALSE
29,23,johnlowery@gmail.com,300mewnx,kanub7,8xex97krx,0,card,VISA 16 digit,65,0,fulfilled,155,076-099-0630x72770,6qy6oa3nqutsyyxzc54c,f259:657f:f329:2fca:c06c:8b57:d6ac:2380,"687 Rogers Bridge Suite 780
Valdezburgh, IN 23532",6,5,3,TRUE
249,186,spencer77@reid.com,h0heqcju,phfc5z,kvc38kle1,0,card,JCB 16 digit,17,1,fulfilled,53,423.526.5373,7318fn930cyfirv504xp,8.13.234.51,"9811 Allison Harbors
Perryberg, SC 57620-9104",5,2,3,FALSE
758,590,andre74@patrick-decker.com,sdvzm88k,nfryte,6umtakhhu,0,apple pay,VISA 16 digit,46,1,fulfilled,161,150-073-8610,4gfo1e3xeirjanhwko92,d89c:db0:5ff9:a150:9e6c:482d:c900:fb33,"55197 Jeffrey Burgs Suite 700
Gardnerport, VA 04866-4230",5,4,4,TRUE
306,235,johnlowery@gmail.com,w5wkltds,3ougge,opyep1aoj,0,card,VISA 16 digit,11,0,fulfilled,40,737-377-9701x577,jz66ap43id2y35ivfqa5,6c21:ac1d:2089:68fa:abb7:8c00:525f:6588,"08238 Kyle Squares Suite 893
Millermouth, IN 27535-5397",0,0,1,TRUE
222,159,jamescampbell@randall-pacheco.biz,ulr6tqlz,gar4v9,c4lqxg7tb,0,card,Discover,11,0,fulfilled,46,599-142-6783,eaul63h9guyvwuymfn3z,45.203.99.249,"29408 Lisa Lock
Port Jennifer, LA 26501-7040",7,3,2,TRUE
37,24,johnlowery@gmail.com,cfoevtai,kanub7,yxsf33ipw,0,bitcoin,Voyager,65,1,fulfilled,155,076-099-0630x72770,6qy6oa3nqutsyyxzc54c,f259:657f:f329:2fca:c06c:8b57:d6ac:2380,"687 Rogers Bridge Suite 780
Valdezburgh, IN 23532",6,5,3,TRUE
172,130,9es7t@u6n7x,yz35aas7,3b9vdf,wl0wgtfn2,0,card,Voyager,16,0,fulfilled,32,518.037.7423x366,uqdiolg8krd34n4phs18,3617:fa2b:f31e:5b72:59a8:cb1a:d090:edb9,"63978 Luis Ports
Yvonneville, NE 63736-2980",2,1,1,TRUE
449,323,cindydelgado@gmail.com,x73jfun1,1nblrq,47p53nhjt,0,paypal,VISA 16 digit,49,0,fulfilled,89,523.689.5105x7670,z3vo5aropo8rd2lfqrnq,86.201.239.98,"7835 Jasmine Mission Suite 502
Port Alejandra, WA 47942-2517",4,4,1,FALSE
341,239,johnlowery@gmail.com,h1zprjml,0b6r24,opyep1aoj,0,card,VISA 16 digit,30,1,fulfilled,79,1-820-539-4726x993,2in0fh7lep289n8dcbdz,163.128.139.42,"814 Wagner Union
Ashleymouth, HI 35617",2,2,1,TRUE
285,222,finleybrianna@yahoo.com,gec3i717,np9ggp,l1qil6tjh,0,card,American Express,44,0,fulfilled,63,255-915-9059x3369,m97tf30d9wpav4njjfbm,233.79.136.157,"445 Nicole Hollow
Carterton, FM 48532",7,4,1,FALSE
594,468,joshua00@hotmail.com,miiyptdl,pupkd9,29bqx7jkh,0,paypal,JCB 16 digit,48,0,fulfilled,130,+96(0)1872091077,y04p9bz3r8dmmcpqxgzm,a06a:af58:8d50:fe02:b3b5:a1d2:9251:9dec,"44361 Amy Curve
South Erictown, MN 32004",5,4,2,FALSE
282,219,hj8maoy@1jcfcxs7,cwqkwqg6,sw4bii,7b7gmp8al,0,card,VISA 16 digit,41,0,fulfilled,62,3115487766,e3prs7zh4ueieiwlkud7,769a:4538:2bd2:8213:85ed:ca71:1ea3:dcd9,"872 Ashley Island Apt. 254
East Anthonytown, LA 10352",6,5,2,TRUE
812,616,dawn05@tucker-brown.com,6incxb5x,ow1cih,3zmkegkb8,0,paypal,JCB 15 digit,23,0,fulfilled,167,(089)703-7360x8848,lu4fgcug8dr0dwbcuui1,132.132.95.33,"130 Kimberly Junctions
Ericmouth, KS 59756-2919",7,5,4,FALSE
470,344,emilyroberts@hotmail.com,jydc0igm,lv7bgj,k3j0csvbi,1,paypal,JCB 16 digit,14,0,fulfilled,95,479.228.3536,dpgcbcifnntnq2ht4owp,87.18.25.113,"94798 Reed Park Apt. 840
Port Normanborough, ME 36946-3989",2,2,1,FALSE
589,463,oaguirre@hotmail.com,5s2j37z0,9lj87e,0d9jd80l2,0,apple pay,Voyager,47,0,fulfilled,129,1-856-006-5150,cvtpgtclxkvcwvr16cyd,ae37:8e14:bfc1:43c4:7dde:7b9e:ca7f:4721,"719 Jeremy Flat Apt. 914
Alexanderport, IA 97423-7424",1,1,4,TRUE
299,234,johnlowery@gmail.com,qenelvvf,3ougge,opyep1aoj,0,card,VISA 16 digit,11,1,fulfilled,45,+16(4)9016414340,cdx178qymd6vy77nm4x3,222.79.159.140,"77711 Pamela Ridge
New Kayla, IL 27182",3,2,1,TRUE
51,26,johnlowery@gmail.com,crwqqfpi,7fs5td,yxsf33ipw,0,bitcoin,Voyager,68,0,fulfilled,79,1-820-539-4726x993,2in0fh7lep289n8dcbdz,163.128.139.42,"814 Wagner Union
Ashleymouth, HI 35617",2,2,1,TRUE
43,25,johnlowery@gmail.com,kg0emdbe,605pbl,yxsf33ipw,0,bitcoin,Voyager,36,0,failed,79,1-820-539-4726x993,2in0fh7lep289n8dcbdz,163.128.139.42,"814 Wagner Union
Ashleymouth, HI 35617",2,2,1,TRUE
193,151,brandon58@conner.com,w3jgb8qt,v1sq5r,r0735q7at,0,card,JCB 15 digit,14,1,fulfilled,42,726-715-7429x06218,qywyyrk5r87k21ij3p62,225.62.150.241,"USS Barr
FPO AE 16052-3851",8,3,1,FALSE
710,568,johnlowery@gmail.com,gzs6it77,b8mpa4,hs3hemcz6,0,card,Maestro,22,1,fulfilled,45,+16(4)9016414340,cdx178qymd6vy77nm4x3,222.79.159.140,"77711 Pamela Ridge
New Kayla, IL 27182",3,2,1,TRUE
501,375,benjamin19@gmail.com,g0v9a6i2,xmaldl,3y1i3h6rv,0,paypal,Discover,11,1,fulfilled,101,145-419-0237x139,akahn9g6l5245a3zfby6,d7d:faf5:36a8:6b28:f7bc:b265:7611:ceda,"90771 Daniel Field Apt. 429
North Jamesland, IL 45690",4,3,2,FALSE
511,385,tmcpherson@wright.com,6h400s45,qrkjwn,w8f4lcsen,1,card,VISA 13 digit,33,0,fulfilled,103,1-804-264-1481x08539,ui77ukzr5lnqpajdk03u,296d:59fe:a919:21ac:16dd:96f5:10b3:4f83,"7956 Alex Avenue Apt. 593
Port Michael, OK 41350",13,8,1,TRUE
720,569,johnlowery@gmail.com,soaefwfo,pc6hb6,8wpdnmsut,0,paypal,JCB 16 digit,46,0,fulfilled,79,1-820-539-4726x993,2in0fh7lep289n8dcbdz,163.128.139.42,"814 Wagner Union
Ashleymouth, HI 35617",2,2,1,TRUE
30,23,johnlowery@gmail.com,300mewnx,kanub7,8xex97krx,0,card,VISA 16 digit,65,0,fulfilled,165,635.676.0955x524,969zz9zdj8z4gns4sx5p,f82c:811f:8a02:e2d6:79b:fcaa:42de:570b,"548 Bryant Inlet
Veronicaside, OK 00522",4,4,2,TRUE
549,423,marywalker@gmail.com,v19i5ylc,hw28hx,dakq3e620,0,card,JCB 16 digit,19,0,fulfilled,115,828-124-3490,kah1gtidszvnkih1lvtd,11.165.157.167,"4025 Rivera Mill
West Justin, UT 11158",4,3,3,TRUE
135,93,davismike@hotmail.com,upzpdr9y,yqijlk,otujzzu3i,1,bitcoin,Diners Club / Carte Blanche,11,1,fulfilled,22,467-222-0933x910,4hzaaor6es3iyuiavyio,162.48.39.230,"07078 Brent Ways Apt. 999
Alvarezshire, ND 82309",4,3,1,FALSE
468,342,thernandez@johnson-quinn.com,m8r6hniu,un1swp,5dcw1pvfp,0,card,VISA 16 digit,22,0,fulfilled,94,(940)148-2704,y2n05wrk1bg8w21bey0t,1f62:a7f0:6db0:caee:9b6a:eafd:dfea:c50,"911 Miller Summit Suite 426
Port Ashley, IA 03124-9666",2,2,1,FALSE
540,414,zgraham@yahoo.com,tyhoucmk,4pg8fk,l4w49qskr,0,apple pay,Voyager,42,0,fulfilled,113,1-469-696-6266,t2ztblzdu5hhzuo5fl6g,114.134.196.43,"4608 Travis Spring
Sarahtown, KS 65613",5,4,3,FALSE
172,130,9es7t@u6n7x,yz35aas7,3b9vdf,wl0wgtfn2,0,card,Voyager,16,0,fulfilled,32,518.037.7423x366,uqdiolg8krd34n4phs18,3617:fa2b:f31e:5b72:59a8:cb1a:d090:edb9,"63978 Luis Ports
Yvonneville, NE 63736-2980",2,1,1,TRUE
735,571,johnlowery@gmail.com,c5usmga3,oo68hd,hs3hemcz6,0,card,Maestro,34,0,fulfilled,65,4712252182,311kdz4c1210iixltk2j,42b3:df19:86fe:abd9:dafe:f6c1:eb76:c72,"11704 Andrew Villages Apt. 035
Jamesfurt, OR 49817-0470",7,5,1,TRUE
614,488,jenniferperry@hotmail.com,s0yyt7of,d67lcv,45ddgqcnf,0,card,Diners Club / Carte Blanche,30,0,failed,138,+27(2)4721167637,u4gxqno1iwgs4cn6502c,202.230.239.182,"16855 Lopez Tunnel
Port Stephanieville, PW 58997-9470",4,4,2,FALSE
253,190,ssmith@levine-harmon.biz,3f97a9jm,9ekv8b,was3bq380,0,card,Voyager,17,0,fulfilled,56,266-228-3021x90360,7u2y3wsyj7ehzfao86md,13ff:5a93:bc34:e190:5e4b:ac80:2e2d:6217,"37549 Crawford Forest
Christopherside, KY 96656",8,5,2,FALSE
594,468,joshua00@hotmail.com,miiyptdl,pupkd9,29bqx7jkh,0,paypal,JCB 16 digit,48,0,fulfilled,130,+96(0)1872091077,y04p9bz3r8dmmcpqxgzm,a06a:af58:8d50:fe02:b3b5:a1d2:9251:9dec,"44361 Amy Curve
South Erictown, MN 32004",5,4,2,FALSE
537,411,phillip89@gmail.com,5gbtznk4,6fzokb,0hxz5kbtr,0,card,JCB 15 digit,13,0,fulfilled,111,649-150-0665,jyk9fawabmu0yi4ee69q,2.47.31.110,"2672 Jeffrey Cove
Michaelport, ND 40991-4174",3,3,1,FALSE
797,607,johnlowery@gmail.com,g3bqf8xd,tc712d,j3foo2l16,0,card,JCB 16 digit,27,0,fulfilled,40,737-377-9701x577,jz66ap43id2y35ivfqa5,6c21:ac1d:2089:68fa:abb7:8c00:525f:6588,"08238 Kyle Squares Suite 893
Millermouth, IN 27535-5397",0,0,1,TRUE
380,268,bakersydney@gmail.com,4d21mp0y,r55imo,74rqcnogo,0,card,Voyager,41,0,fulfilled,75,002.940.3004x9094,18cnggmlahgf7trpqsu8,246.139.218.89,"8649 Mcgee Locks Apt. 114
North Angelafort, IN 05272-4651",5,3,1,FALSE
91,49,christineklein@wright-boyd.org,07hkhmmf,l8smyt,ow9u8ogs4,0,card,VISA 16 digit,46,0,fulfilled,12,897-464-6425x941,j8cp1uydkuyza2eo0mir,4304:521a:e1c3:766b:21f3:ac3:4ab2:5a2,"67636 Renee Islands Suite 307
Teresaview, ND 09042",4,4,3,FALSE
757,589,andre74@patrick-decker.com,09hmwr4s,nfryte,z4jrvn93k,0,card,JCB 16 digit,46,0,fulfilled,161,150-073-8610,4gfo1e3xeirjanhwko92,d89c:db0:5ff9:a150:9e6c:482d:c900:fb33,"55197 Jeffrey Burgs Suite 700
Gardnerport, VA 04866-4230",5,4,4,TRUE
342,239,johnlowery@gmail.com,h1zprjml,0b6r24,opyep1aoj,0,card,VISA 16 digit,30,1,fulfilled,133,1-143-059-1833,tyijaify2hqadwslejyr,e4c:fb48:8ee2:9819:6ae8:8d3f:3b6a:a788,"518 Wood Mews Apt. 970
Dillonstad, NE 43317-3945",0,0,0,TRUE
509,383,tmcpherson@wright.com,rilyerv3,6sv4im,w8f4lcsen,1,card,VISA 13 digit,42,0,fulfilled,103,1-804-264-1481x08539,ui77ukzr5lnqpajdk03u,296d:59fe:a919:21ac:16dd:96f5:10b3:4f83,"7956 Alex Avenue Apt. 593
Port Michael, OK 41350",13,8,1,TRUE
445,319,shelby24@hotmail.com,9s2ob8gu,99fepx,ws9sghi5j,0,card,Mastercard,50,0,fulfilled,88,(071)934-3315x27613,obb41ux0zfa2td5ajo9s,45.203.99.249,"3271 Cynthia Groves
Port Jeremyberg, CO 27305",5,4,2,TRUE
699,566,johnlowery@gmail.com,t2tr0zve,1c0bds,hs3hemcz6,0,card,Maestro,47,0,fulfilled,165,635.676.0955x524,969zz9zdj8z4gns4sx5p,f82c:811f:8a02:e2d6:79b:fcaa:42de:570b,"548 Bryant Inlet
Veronicaside, OK 00522",4,4,2,TRUE
601,475,kyle64@stephens-ortiz.com,atmrshug,u0pjxd,kus94zksp,1,card,JCB 16 digit,22,0,fulfilled,134,587.550.8830x64152,tvq298xvzj7zla68uz5h,196.30.166.8,"42423 Marco Summit
New Mark, FM 17715",5,4,1,FALSE
394,282,nancymayo@brown.com,4z7tp93o,c5b579,oxpsbpotn,0,apple pay,Diners Club / Carte Blanche,30,0,pending,78,830-346-6543x518,1asmfecu4hbv73a2r5jy,79.112.154.104,"6927 Nathan Mountains
North April, PA 95355-9109",7,6,2,TRUE
742,574,stevehernandez@gmail.com,8c5f90a5,die097,8ty2ztfnr,0,apple pay,Maestro,44,0,fulfilled,156,716-379-6345,felexq5xniffmhhlqdqm,601d:b1f3:1a48:e0ef:1452:906f:21dc:b526,"904 James Route Suite 595
Lake Ruth, CO 66976",6,5,1,FALSE
140,98,karen54@mullins.biz,r3gj74vr,w3av5p,4rdcaqhb7,1,card,American Express,12,1,fulfilled,25,1-019-956-8013,ybz490o0v5781808jtzw,61.219.235.129,"526 Ronald Cliffs
West Christinaville, GU 76418",8,5,2,FALSE
581,455,koneal@henderson.biz,7qdnutij,v8qxee,h6cv0t3ga,0,bitcoin,VISA 16 digit,38,0,fulfilled,126,059.431.5467x7848,gcfo5uheb9mugbstbjez,85.188.105.126,"056 Megan Trail Suite 355
West Zachary, GU 51278-2318",4,4,1,TRUE
25,23,johnlowery@gmail.com,300mewnx,kanub7,8xex97krx,0,card,VISA 16 digit,65,0,fulfilled,45,+16(4)9016414340,cdx178qymd6vy77nm4x3,222.79.159.140,"77711 Pamela Ridge
New Kayla, IL 27182",3,2,1,TRUE
252,189,uguzman@yahoo.com,ftiso5mr,32rax6,73a2hlmnm,0,card,VISA 16 digit,353,1,fulfilled,55,(017)893-9493,at92v1f1r3shwbeujiap,151.245.182.84,"9596 Christian Bridge
West Nicholasbury, OR 90106-9840",1,1,1,TRUE
348,240,johnlowery@gmail.com,aoyfjmwf,9eubwc,opyep1aoj,0,card,VISA 16 digit,12,0,fulfilled,65,4712252182,311kdz4c1210iixltk2j,42b3:df19:86fe:abd9:dafe:f6c1:eb76:c72,"11704 Andrew Villages Apt. 035
Jamesfurt, OR 49817-0470",7,5,1,TRUE
293,230,suzanne21@gmail.com,5mub2d51,z2x7az,6ke43eyg9,0,card,Voyager,31,0,fulfilled,64,1-043-962-2576,ewc3gyloi1ing9o64jpt,4834:7ccb:15de:9123:5658:42c3:cc50:79f,"398 Latasha Canyon
Kathyland, LA 36717-2161",5,3,2,TRUE
542,416,zgraham@yahoo.com,cosa5rtj,9khtcz,ougmgyvof,0,card,Maestro,12,0,fulfilled,113,1-469-696-6266,t2ztblzdu5hhzuo5fl6g,114.134.196.43,"4608 Travis Spring
Sarahtown, KS 65613",5,4,3,FALSE
592,466,joshua00@hotmail.com,ys8gd1yz,jjuevb,29bqx7jkh,0,paypal,JCB 16 digit,47,1,failed,130,+96(0)1872091077,y04p9bz3r8dmmcpqxgzm,a06a:af58:8d50:fe02:b3b5:a1d2:9251:9dec,"44361 Amy Curve
South Erictown, MN 32004",5,4,2,FALSE
157,115,abigail08@yahoo.com,97sqcd6l,l98c04,tfcg9eqwk,1,card,Maestro,29,0,fulfilled,28,650-489-7595x7901,0g6v7n9n8k4pekxpqj2e,72.251.102.162,"3764 Stanley Hollow
East Catherine, CT 98470",5,3,2,FALSE
152,110,blackjoel@wright.com,hqtzz2ib,zxk81a,jud25x4mo,0,card,Maestro,30,0,fulfilled,27,621.591.0560,smxfahki83m4rgsvgvki,9717:f390:29c6:8d60:aee7:a054:1b90:9493,"Unit 0643 Box 8346
DPO AA 55632-6780",6,5,1,FALSE
672,546,1yf0@jedyz63t,xyavqxjg,1ca3sy,0l7kszls7,0,card,VISA 13 digit,45,0,fulfilled,151,463-609-3475,j3a0155srqw0yeqvbgps,1fe2:1fa3:2a6f:845d:1037:2dac:2831:9d50,"12350 Nicholas Greens
Lawsonborough, NC 70237-3962",10,5,4,TRUE
416,290,rbolton@hotmail.com,mco06mub,j5ssnn,895soyhh1,0,apple pay,VISA 13 digit,27,1,fulfilled,81,4454448537,znuylfikiuid1orrwsvt,911e:44d8:824c:85a3:ba7a:6513:8d40:c4c3,"150 Kenneth Bypass Apt. 791
Kevinton, VT 92488",5,4,3,FALSE
118,76,juliecook@hotmail.com,5855qbk5,p6g2g0,rqpuq19z6,0,card,Voyager,11,0,fulfilled,18,1-412-734-7967x67388,sj72s0k7wxdrxu3rcmba,61ba:a72b:5401:db1a:9833:d0da:254c:2369,"1750 Alicia Shoals Apt. 000
South Benjamin, ND 75373",2,2,1,FALSE
452,326,brittanydean@hotmail.com,rsxqencf,4x5z1z,te1pi876k,0,card,Voyager,36,1,fulfilled,90,6238721842,yq8xiivmx4prlgx0gofo,3517:8e52:885:8640:a59:f5fd:cb33:b06a,"49680 Brian Squares Apt. 122
Port Walterburgh, MH 02766-0708",6,4,1,TRUE
259,196,ssmith@levine-harmon.biz,cyob52xd,y50p63,k5xriv8co,1,card,Maestro,36,1,fulfilled,56,266-228-3021x90360,7u2y3wsyj7ehzfao86md,13ff:5a93:bc34:e190:5e4b:ac80:2e2d:6217,"37549 Crawford Forest
Christopherside, KY 96656",8,5,2,FALSE
438,312,tayloreric@gmail.com,58xj4057,zwxx7h,ktxquppwn,0,card,Voyager,15,0,failed,87,1-160-137-7889x74832,sjoj10iss04dq90i4w7x,3.75.86.140,"3195 Farmer Mills Apt. 946
Brittanymouth, IA 14170",4,3,2,FALSE
